('109 Cinemas Grandberry Mall', 310, '3D', 'Japan, Tokyo'),
('VOX Cinemas Panorama Mall', 240, 'Standard', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Red Sea Housing', 290, 'IMAX', 'Saudi Arabia, Jeddah'),
('VOX Cinemas Red Sea Mall', 230, 'Standard', 'Saudi Arabia, Jeddah'),
('VOX Cinemas Riyadh Front', 260, 'Standard', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Riyadh Park', 280, 'IMAX', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Al Rayyan'),
('VOX Cinemas Yas Mall', 260, 'Standard', 'UAE, Abu Dhabi'),
('VakifBank World Cinema', 200, '3D', 'Turkey, Istanbul'),
('VakifBank World Cinema Istinye Park', 290, 'IMAX', 'Turkey, Istanbul'),
('VakifBank World Cinema Trump Towers', 220, 'IMAX', 'Turkey, Istanbul'),
('Vie Show Cinemas', 280, 'IMAX', 'Taiwan, Taipei'),
('Vie Show Cinemas - T.S. Mall', 190, '3D', 'Taiwan, Taichung'),
('Vie Show Cinemas Hualien Farglory', 240, 'Standard', 'Taiwan, Hualien'),
('Vie Show Cinemas Kaohsiung', 170, 'Standard', 'Taiwan, Kaohsiung'),
('Vie Show Cinemas Kenting', 170, 'Standard', 'Taiwan, Kenting'),
('Vie Show Cinemas Taichung Tiger City', 220, 'IMAX', 'Taiwan, Taichung'),
('Vie Show Cinemas Tainan', 240, 'Standard', 'Taiwan, Tainan'),
('Vie Show Cinemas Tainan Focus Square', 220, 'IMAX', 'Taiwan, Tainan'),
('Vie Show Cinemas Taipei Hsin Yi', 280, 'IMAX', 'Taiwan, Taipei'),
('Vie Show Cinemas Taipei Q Square', 310, '3D', 'Taiwan, Taipei'),
('Viewshow Cinemas', 260, 'Standard', 'Taiwan, Taipei'),
('Vika Kino', 220, 'IMAX', 'Norway, Oslo'),
('Village Avellaneda', 220, 'IMAX', 'Argentina, Avellaneda'),
('Village Cinemas', 200, 'Standard', 'Australia, Melbourne'),
('Village Cinemas Athens Mall', 280, 'IMAX', 'Greece, Athens'),
('Village Cinemas Crown', 200, '3D', 'Australia, Melbourne'),
('Village Cinemas Doncaster', 160, 'Standard', 'Australia, Melbourne'),
('Village Cinemas Golden Hall', 310, '3D', 'Greece, Marousi'),
('Village Cinemas Mediterranean Cosmos', 170, 'Standard', 'Greece, Thessaloniki'),
('Village Cinemas Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Village Cinemas Southland', 190, '3D', 'Australia, Melbourne'),
('Village Cinemas Thessaloniki', 190, '3D', 'Greece, Thessaloniki'),
('Village Cines Avellaneda', 190, '3D', 'Argentina, Avellaneda'),
('Village Cines Recoleta', 200, '3D', 'Argentina, Buenos Aires'),
('Village Entertainment Center', 200, '3D', 'Greece, Marousi'),
('Village Faliro', 220, 'IMAX', 'Greece, Palaio Faliro'),
('Village Kifisia', 240, 'Standard', 'Greece, Kifisia'),
('Village Pilar', 290, 'IMAX', 'Argentina, Pilar'),
('Village Recoleta', 200, '3D', 'Argentina, Buenos Aires'),
('Village Shopping & More', 280, 'IMAX', 'Greece, Athens'),
('Vox Cinemas', 150, 'IMAX', 'UAE, Dubai'),
('Vox Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Vue Cinema Amersfoort', 240, 'Standard', 'Netherlands, Amersfoort'),
('Vue Cinema Eindhoven', 260, 'Standard', 'Netherlands, Eindhoven'),
('Vue Cinema Hilversum', 230, 'Standard', 'Netherlands, Hilversum'),
('Vue Cinemas Alkmaar', 310, '3D', 'Netherlands, Alkmaar'),
('Vue Cinemas Amersfoort', 220, 'IMAX', 'Netherlands, Amersfoort'),
('Vue Cinemas De Kuip', 230, 'Standard', 'Netherlands, Rotterdam'),
('Vue Cinemas Eindhoven', 170, 'Standard', 'Netherlands, Eindhoven'),
('Vue Cinemas Hilversum', 240, 'Standard', 'Netherlands, Hilversum'),
('Vue Cinemas Westfield', 230, 'Standard', 'UK, London'),
('Vue Cinemas Westfield London', 230, 'Standard', 'United Kingdom, London'),
('Vue Edinburgh Ocean Terminal', 170, 'Standard', 'UK, Edinburgh'),
('Vue Manchester Printworks', 190, '3D', 'UK, Manchester'),
('Vue Manchester Printworks', 190, '3D', 'United Kingdom, Manchester'),
('Vue Shepherds Bush', 260, 'IMAX', 'UK, London'),
('Vue West End', 230, 'Standard', 'UK, London'),
('Vue West End', 230, 'Standard', 'United Kingdom, London'),
('Vue Westfield London', 190, '3D', 'UK, London'),
('Wanda Cinema', 150, 'IMAX', 'China, Beijing'),
('Wanda Cinema - Chengdu Yintai In99', 220, 'IMAX', 'China, Chengdu'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Wanda Cinema Chengdu', 200, 'Standard', 'China, Chengdu'),
('Wanda Cinema Futian', 250, 'IMAX', 'China, Shenzhen'),
('Wanda Cinema Guangzhou', 220, 'Standard', 'China, Guangzhou'),
('Wanda Cinema Tianjin', 290, '3D', 'China, Tianjin'),
('Wanda Cinema Xidan', 160, 'IMAX', 'China, Beijing'),
('West End Park Cinema', 190, '3D', 'Qatar, Doha'),
('XXI Beachwalk', 240, 'Standard', 'Indonesia, Bali'),
('XXI Gandaria City', 240, 'Standard', 'Indonesia, Jakarta'),
('XXI Lippo Mall Puri', 290, 'IMAX', 'Indonesia, Jakarta'),
('XXI Mall Kelapa Gading', 220, 'IMAX', 'Indonesia, Jakarta'),
('XXI Mall of Indonesia', 230, 'Standard', 'Indonesia, Jakarta'),
('XXI Plaza Indonesia', 230, 'Standard', 'Indonesia, Jakarta'),
('XXI Plaza Senayan', 200, '3D', 'Indonesia, Jakarta'),
('XXI Pondok Indah Mall', 220, 'IMAX', 'Indonesia, Jakarta'),
('XXI Summarecon Mal Bekasi', 190, '3D', 'Indonesia, Bekasi'),
('XXI Summarecon Mal Serpong', 170, 'Standard', 'Indonesia, Tangerang'),
('XXI Supermal Karawaci', 170, 'Standard', 'Indonesia, Tangerang'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Yelmo Cines Islazul', 170, 'Standard', 'Spain, Madrid'),
('Yelmo Cines Plaza Mayor', 260, 'Standard', 'Spain, Madrid'),
('Yelmo Cines Plaza Norte 2', 200, '3D', 'Spain, San Sebastián de los Reyes'),
('Yelmo Cines Rivas Futura', 190, '3D', 'Spain, Rivas-Vaciamadrid'),
('Yelmo Cines Tres Aguas', 170, 'Standard', 'Spain, Alcorcón'),
('Yelmo Cines Vialia Málaga', 190, '3D', 'Spain, Málaga'),
('Zita Folkets Bio', 220, 'IMAX', 'Sweden, Stockholm'),
('Zoo Palast', 300, '3D', 'Germany, Berlin'),
('Zoo Palast Berlin', 310, '3D', 'Germany, Berlin'),
('mmCineplexes City Square JB', 310, '3D', 'Malaysia, Johor Bahru'),
('mmCineplexes Dpulze Cyberjaya', 240, 'Standard', 'Malaysia, Cyberjaya'),
